"U:0,""U:1"",""U:2"",""p"",""vtkValidPointMask"",""arc_length"",""Points:0"",""Points:1"",""Points:2"""
0.060786,-8.9055e-06,0,0,1,0.00086,1.5,0.00086,0
0.060796,-9.0375e-06,0,0,1,0.00087,1.5,0.00087,0
0.060806,-9.1695e-06,0,0,1,0.00088,1.5,0.00088,0
0.060817,-9.3015e-06,0,0,1,0.00089,1.5,0.00089,0
0.060827,-9.4335e-06,0,0,1,0.0009,1.5,0.0009,0
0.060837,-9.5654e-06,0,0,1,0.00091,1.5,0.00091,0
0.060848,-9.6974e-06,0,0,1,0.00092,1.5,0.00092,0
0.060858,-9.8294e-06,0,0,1,0.00093,1.5,0.00093,0
0.060868,-9.9614e-06,0,0,1,0.00094,1.5,0.00094,0
0.060878,-1.0093e-05,0,0,1,0.00095,1.5,0.00095,0
0.060889,-1.0225e-05,0,0,1,0.00096,1.5,0.00096,0
0.060899,-1.0357e-05,0,0,1,0.00097,1.5,0.00097,0
0.060909,-1.0489e-05,0,0,1,0.00098,1.5,0.00098,0
0.06092,-1.0621e-05,0,0,1,0.00099,1.5,0.00099,0
0.06093,-1.0753e-05,0,0,1,0.001,1.5,0.001,0
0.06094,-1.0888e-05,0,0,1,0.00101,1.5,0.00101,0
0.060951,-1.1023e-05,0,0,1,0.00102,1.5,0.00102,0
0.060961,-1.1158e-05,0,0,1,0.00103,1.5,0.00103,0
0.060972,-1.1293e-05,0,0,1,0.00104,1.5,0.00104,0
0.060982,-1.1427e-05,0,0,1,0.00105,1.5,0.00105,0
0.060993,-1.1562e-05,0,-5.011e-19,1,0.00106,1.5,0.00106,0
0.061004,-1.1697e-05,0,0,1,0.00107,1.5,0.00107,0
0.061014,-1.1832e-05,0,0,1,0.00108,1.5,0.00108,0
0.061025,-1.1967e-05,0,0,1,0.00109,1.5,0.00109,0
0.061035,-1.2101e-05,0,0,1,0.0011,1.5,0.0011,0
0.061046,-1.2236e-05,0,0,1,0.00111,1.5,0.00111,0
0.061056,-1.2371e-05,0,0,1,0.00112,1.5,0.00112,0
0.061067,-1.2506e-05,0,0,1,0.00113,1.5,0.00113,0
0.061077,-1.2641e-05,0,0,1,0.00114,1.5,0.00114,0
0.061088,-1.2775e-05,0,0,1,0.00115,1.5,0.00115,0
0.061098,-1.291e-05,0,0,1,0.00116,1.5,0.00116,0
0.061109,-1.3045e-05,0,0,1,0.00117,1.5,0.00117,0
0.061119,-1.318e-05,0,0,1,0.00118,1.5,0.00118,0
0.06113,-1.3315e-05,0,0,1,0.00119,1.5,0.00119,0
0.06114,-1.3449e-05,0,0,1,0.0012,1.5,0.0012,0
0.061151,-1.3584e-05,0,0,1,0.00121,1.5,0.00121,0
0.061162,-1.3719e-05,0,0,1,0.00122,1.5,0.00122,0
0.061172,-1.3854e-05,0,0,1,0.00123,1.5,0.00123,0
